company_name,domain,year,program,location,industries,description,image_url,linkedin_url,twitter_url,crunchbase_url
PlayQ,https://playq.com/,2007,Techstars Boulder Accelerator,"Philadelphia, Pennsylvania, United States","Gaming,Mobile",Social gaming,https://apimg.techstars.com/connect/images/image_files/5359/5d85/a9f4/89ba/2900/0004/original/playq.jpg,https://linkedin.com/company/3879848,https://twitter.com/PlayQ,https://crunchbase.com/organization/jsquaredmedia
Socialthing,https://socialthing.com/,2007,Techstars Boulder Accelerator,"Boulder, Colorado, United States",Fintech,Simplifying the management of sites and services that you already use,https://apimg.techstars.com/connect/images/image_files/53d6c5e6b5e11e5a8f000004/original/socialthing.jpg,https://linkedin.com/company/socialthing-inc.,https://twitter.com/socialthing,https://crunchbase.com/organization/socialthing
Filtrbox,https://filtrbox.com/,2007,Techstars Boulder Accelerator,"Palo Alto, California, United States",Marketing tech,Social media monitoring & analytics,http://apimg.techstars.com/sf/accounts/logo/Logo_a89d6118698bcff76a66dd54d.webp,,https://twitter.com/jivesoftware,https://crunchbase.com/organization/filtrbox
IntenseDebate,https://intensedebate.com/,2007,Techstars Boulder Accelerator,"Boulder, Colorado, United States","Marketing tech,SaaS,Technology media and telecommunications",Blog commenting system,https://apimg.techstars.com/connect/images/image_files/53d6c57faf05d79bc9000007/original/intensedebate.png,https://linkedin.com/company/intensedebate.com,https://twitter.com/intensedebate,https://crunchbase.com/organization/intensedebate
Brightkite,https://brightkite.com/,2007,Techstars Boulder Accelerator,"Burlingame, California, United States",Mobile,Location based social network,https://apimg.techstars.com/connect/images/image_files/5359/5cf8/cb58/5a41/8e00/0005/original/brightkite.jpg,,https://twitter.com/brightkite,https://crunchbase.com/organization/brightkite
MadKast,https://madkast.com/,2007,Techstars Boulder Accelerator,"Boulder, Colorado, United States",Fintech,Making it easy for people to share news and blog posts with others,https://apimg.techstars.com/connect/images/image_files/5359/5d45/a9f4/89a6/2900/0004/original/madkast.jpg,,,https://crunchbase.com/organization/madkast
Which Ventures,,2007,Techstars Boulder Accelerator,"New York City, New York, United States",Fintech,A self-proclaimed recommendation engine,https://apimg.techstars.com/connect/images/image_files/5359/5dac/cb58/5a41/8e00/0006/original/which_ventures.jpg,,https://twitter.com/villij,https://crunchbase.com/organization/villij
Search to Phone,,2007,Techstars Boulder Accelerator,"Boulder, Colorado, United States",Fintech,Search for products and services over the phone,https://apimg.techstars.com/connect/images/image_files/53d6d870b5e11e08b500000d/original/search_to_phone.png,,,https://crunchbase.com/organization/searchtophone
KB Labs,,2007,Techstars Boulder Accelerator,"Boulder, Colorado, United States",Mobile,Specializes in building successful Facebook applications,https://s3.amazonaws.com/companies-techstars-images/001E000000ZAYUCIA5.jpg,,,https://crunchbase.com/organization/kblabs
EventVue,,2007,Techstars Boulder Accelerator,"Boulder, Colorado, United States",Fintech,Social Networking for Conferences,https://apimg.techstars.com/connect/images/image_files/53d6c4bfb5e11e63ac000008/original/eventvue2.png,https://linkedin.com/company/eventvue,https://twitter.com/eventvue,https://crunchbase.com/organization/eventvue
